botA,botB,variant,games,aWins,bWins,draws,aWinRate,aWinLo,aWinHi,aWinsAsWhite,gamesAasWhite,aWinsAsBlack,gamesAasBlack,meanTurns,adjudicationRate,invariantViolations,illegalActionsTotal,meanDurationMs
AIv2-hard-fast,Rush,,30,28,2,0,0.9333,0.7868,0.9815,15,15,13,15,6.0,0.000,0,18,22200
AIv2-hard-fast,Tier1Spam,,20,20,0,0,1.0000,0.8389,1.0000,10,10,10,10,10.4,0.000,0,71,72269
