botA,botB,variant,games,aWins,bWins,draws,aWinRate,aWinLo,aWinHi,aWinsAsWhite,gamesAasWhite,aWinsAsBlack,gamesAasBlack,meanTurns,aScore,inactivityDrawRate,purchasesPerGame,aPurchasesPerGame,bPurchasesPerGame,meanCompletedTurns,adjudicationRate,invariantViolations,illegalActionsTotal,meanDurationMs
AntiRush,Balanced,muju-phasing-2 h0,4,1,0,3,0.2500,0.0456,0.6994,1,2,0,2,17.5,0.6250,0.7500,20.250,15.250,5.000,34.75,0.000,0,0,18
AntiRush,Balanced,muju-phasing-2 h3,4,1,0,3,0.2500,0.0456,0.6994,1,2,0,2,17.5,0.6250,0.7500,18.750,13.250,5.500,34.50,0.000,0,0,19
AntiRush,Expand,muju-phasing-2 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,10.0,0.5000,1.0000,28.000,24.250,3.750,20.00,0.000,0,0,14
AntiRush,Expand,muju-phasing-2 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,12.5,0.5000,1.0000,28.500,25.250,3.250,25.00,0.000,0,0,19
AntiRush,Greedy,muju-phasing-2 h0,4,2,0,2,0.5000,0.1500,0.8500,1,2,1,2,21.0,0.7500,0.5000,22.750,14.250,8.500,41.00,0.000,0,0,21
AntiRush,Greedy,muju-phasing-2 h3,4,1,2,1,0.2500,0.0456,0.6994,0,2,1,2,21.0,0.3750,0.2500,17.000,8.750,8.250,41.00,0.000,0,0,20
AntiRush,MiningDenial,muju-phasing-2 h0,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,23.5,0.1250,0.2500,80.500,7.000,73.500,45.50,0.000,0,0,155
AntiRush,MiningDenial,muju-phasing-2 h3,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,22.3,0.3750,0.7500,84.250,12.000,72.250,43.75,0.000,0,0,130
AntiRush,Mono-fire,muju-phasing-2 h0,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,19.5,0.0000,0.0000,24.000,9.500,14.500,37.25,0.000,0,0,19
AntiRush,Mono-fire,muju-phasing-2 h3,4,1,2,1,0.2500,0.0456,0.6994,0,2,1,2,21.5,0.3750,0.2500,21.000,9.000,12.000,41.50,0.000,0,0,18
AntiRush,Mono-lightning,muju-phasing-2 h0,4,2,1,1,0.5000,0.1500,0.8500,1,2,1,2,31.3,0.6250,0.2500,33.750,12.250,21.500,61.25,0.000,0,0,24
AntiRush,Mono-lightning,muju-phasing-2 h3,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,29.5,0.1250,0.2500,31.000,9.750,21.250,58.25,0.000,0,0,22
AntiRush,Mono-metal,muju-phasing-2 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,19.3,0.5000,1.0000,15.250,7.250,8.000,38.00,0.000,0,0,19
AntiRush,Mono-metal,muju-phasing-2 h3,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,18.0,0.3750,0.7500,16.000,7.250,8.750,35.50,0.000,0,0,21
AntiRush,Mono-plant,muju-phasing-2 h0,4,1,0,3,0.2500,0.0456,0.6994,0,2,1,2,17.3,0.6250,0.7500,25.500,19.500,6.000,33.75,0.000,0,0,21
AntiRush,Mono-plant,muju-phasing-2 h3,4,2,0,2,0.5000,0.1500,0.8500,1,2,1,2,17.3,0.7500,0.5000,26.250,19.250,7.000,33.50,0.000,0,0,24
AntiRush,Mono-shadow,muju-phasing-2 h0,4,1,0,3,0.2500,0.0456,0.6994,1,2,0,2,35.8,0.6250,0.7500,35.000,19.500,15.500,70.75,0.000,0,0,32
AntiRush,Mono-shadow,muju-phasing-2 h3,4,2,1,1,0.5000,0.1500,0.8500,1,2,1,2,20.5,0.6250,0.2500,27.000,17.750,9.250,40.00,0.000,0,0,24
AntiRush,Mono-water,muju-phasing-2 h0,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,20.3,0.2500,0.5000,13.000,6.500,6.500,39.50,0.000,0,0,20
AntiRush,Mono-water,muju-phasing-2 h3,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,17.3,0.3750,0.7500,16.500,10.750,5.750,33.75,0.000,0,0,21
AntiRush,Random,muju-phasing-2 h0,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,27.5,0.3750,0.7500,27.250,12.500,14.750,54.25,0.000,0,0,29
AntiRush,Random,muju-phasing-2 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,28.3,0.5000,1.0000,21.250,10.000,11.250,56.00,0.000,0,0,20
AntiRush,Rush,muju-phasing-2 h0,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,17.8,0.0000,0.0000,96.500,5.500,91.000,34.00,0.000,0,0,110
AntiRush,Rush,muju-phasing-2 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,23.3,0.0000,0.0000,116.750,6.250,110.500,45.50,0.000,0,0,109
AntiRush,Tier1Spam,muju-phasing-2 h0,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,30.3,0.2500,0.5000,105.250,12.000,93.250,59.75,0.000,0,0,123
AntiRush,Tier1Spam,muju-phasing-2 h3,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,23.8,0.1250,0.2500,104.250,9.000,95.250,46.25,0.000,0,0,122
AntiRush,Turtle,muju-phasing-2 h0,4,1,0,3,0.2500,0.0456,0.6994,0,2,1,2,16.8,0.6250,0.7500,15.500,12.750,2.750,32.75,0.000,0,0,11
AntiRush,Turtle,muju-phasing-2 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,14.3,0.5000,1.0000,16.750,12.500,4.250,28.25,0.000,0,0,15
Balanced,Expand,muju-phasing-2 h0,4,1,0,3,0.2500,0.0456,0.6994,0,2,1,2,15.3,0.6250,0.7500,7.750,4.750,3.000,30.00,0.000,0,0,9
Balanced,Expand,muju-phasing-2 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,11.8,0.5000,1.0000,6.750,3.750,3.000,23.25,0.000,0,0,6
Balanced,Greedy,muju-phasing-2 h0,4,1,1,2,0.2500,0.0456,0.6994,1,2,0,2,16.3,0.5000,0.5000,11.250,5.000,6.250,31.75,0.000,0,0,16
Balanced,Greedy,muju-phasing-2 h3,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,20.5,0.1250,0.2500,12.000,4.250,7.750,39.75,0.000,0,0,14
Balanced,MiningDenial,muju-phasing-2 h0,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,20.5,0.1250,0.2500,68.500,4.500,64.000,39.50,0.000,0,0,94
Balanced,MiningDenial,muju-phasing-2 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,16.0,0.0000,0.0000,50.750,4.500,46.250,30.25,0.000,0,0,69
Balanced,Mono-fire,muju-phasing-2 h0,4,1,3,0,0.2500,0.0456,0.6994,1,2,0,2,10.3,0.2500,0.0000,10.500,3.750,6.750,18.75,0.000,0,0,11
Balanced,Mono-fire,muju-phasing-2 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,11.8,0.0000,0.0000,8.750,2.250,6.500,21.50,0.000,0,0,12
Balanced,Mono-lightning,muju-phasing-2 h0,4,2,2,0,0.5000,0.1500,0.8500,1,2,1,2,34.5,0.5000,0.0000,28.750,5.500,23.250,67.50,0.000,0,0,22
Balanced,Mono-lightning,muju-phasing-2 h3,4,1,2,1,0.2500,0.0456,0.6994,0,2,1,2,15.0,0.3750,0.2500,18.500,4.750,13.750,29.00,0.000,0,0,17
Balanced,Mono-metal,muju-phasing-2 h0,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,18.8,0.1250,0.2500,13.000,4.250,8.750,36.50,0.000,0,0,19
Balanced,Mono-metal,muju-phasing-2 h3,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,22.8,0.2500,0.5000,14.250,5.500,8.750,44.50,0.000,0,0,22
Balanced,Mono-plant,muju-phasing-2 h0,4,1,3,0,0.2500,0.0456,0.6994,0,2,1,2,19.0,0.2500,0.0000,13.000,5.750,7.250,36.00,0.000,0,0,18
Balanced,Mono-plant,muju-phasing-2 h3,4,1,2,1,0.2500,0.0456,0.6994,0,2,1,2,18.5,0.3750,0.2500,11.250,4.250,7.000,35.75,0.000,0,0,15
Balanced,Mono-shadow,muju-phasing-2 h0,4,2,2,0,0.5000,0.1500,0.8500,1,2,1,2,23.8,0.5000,0.0000,17.250,6.250,11.000,45.75,0.000,0,0,19
Balanced,Mono-shadow,muju-phasing-2 h3,4,2,2,0,0.5000,0.1500,0.8500,2,2,0,2,17.5,0.5000,0.0000,15.750,4.250,11.500,33.25,0.000,0,0,16
Balanced,Mono-water,muju-phasing-2 h0,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,19.0,0.2500,0.5000,11.000,5.250,5.750,37.00,0.000,0,0,16
Balanced,Mono-water,muju-phasing-2 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,19.0,0.0000,0.0000,9.750,4.250,5.500,36.75,0.000,0,0,15
Balanced,Random,muju-phasing-2 h0,4,3,0,1,0.7500,0.3006,0.9544,1,2,2,2,19.5,0.8750,0.2500,17.750,5.250,12.500,38.00,0.000,0,0,17
Balanced,Random,muju-phasing-2 h3,4,1,2,1,0.2500,0.0456,0.6994,0,2,1,2,24.3,0.3750,0.2500,18.250,5.750,12.500,47.25,0.000,0,0,22
Balanced,Rush,muju-phasing-2 h0,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,15.5,0.0000,0.0000,100.750,4.250,96.500,29.50,0.000,0,0,230
Balanced,Rush,muju-phasing-2 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,15.8,0.0000,0.0000,92.500,3.250,89.250,30.25,0.000,0,0,154
Balanced,Tier1Spam,muju-phasing-2 h0,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,18.0,0.0000,0.0000,83.500,5.500,78.000,34.50,0.000,0,0,81
Balanced,Tier1Spam,muju-phasing-2 h3,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,25.8,0.1250,0.2500,98.500,4.250,94.250,50.00,0.000,0,0,107
Balanced,Turtle,muju-phasing-2 h0,4,2,0,2,0.5000,0.1500,0.8500,1,2,1,2,13.8,0.7500,0.5000,8.500,4.000,4.500,26.75,0.000,0,0,7
Balanced,Turtle,muju-phasing-2 h3,4,1,0,3,0.2500,0.0456,0.6994,1,2,0,2,15.3,0.6250,0.7500,9.000,6.000,3.000,30.00,0.000,0,0,15
Expand,Greedy,muju-phasing-2 h0,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,12.8,0.0000,0.0000,7.250,2.250,5.000,24.25,0.000,0,0,17
Expand,Greedy,muju-phasing-2 h3,4,1,1,2,0.2500,0.0456,0.6994,0,2,1,2,15.0,0.5000,0.5000,9.250,3.500,5.750,29.00,0.000,0,0,18
Expand,MiningDenial,muju-phasing-2 h0,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,18.5,0.2500,0.5000,71.500,2.750,68.750,36.00,0.000,0,0,87
