botA,botB,variant,games,aWins,bWins,draws,aWinRate,aWinLo,aWinHi,aWinsAsWhite,gamesAasWhite,aWinsAsBlack,gamesAasBlack,meanTurns,aScore,inactivityDrawRate,purchasesPerGame,aPurchasesPerGame,bPurchasesPerGame,meanCompletedTurns,adjudicationRate,invariantViolations,illegalActionsTotal,meanDurationMs
AntiRush,Turtle,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,7.000,5.500,1.500,10.00,0.000,0,0,3
Balanced,Expand,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,3.250,1.250,2.000,10.00,0.000,0,0,1
Balanced,Expand,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,3.250,1.250,2.000,10.00,0.000,0,0,1
Balanced,Greedy,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,11.0,0.5000,1.0000,8.000,3.500,4.500,21.25,0.000,0,0,14
Balanced,Greedy,muju-phasing-1 h3,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,9.8,0.3750,0.7500,5.750,2.250,3.500,19.00,0.000,0,0,14
Balanced,MiningDenial,muju-phasing-1 h0,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,19.3,0.1250,0.2500,66.000,4.500,61.500,37.00,0.000,0,0,64
Balanced,MiningDenial,muju-phasing-1 h3,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,15.3,0.1250,0.2500,50.750,4.500,46.250,29.25,0.000,0,0,46
Balanced,Mono-fire,muju-phasing-1 h0,4,1,2,1,0.2500,0.0456,0.6994,1,2,0,2,7.8,0.3750,0.2500,9.250,3.250,6.000,14.00,0.000,0,0,6
Balanced,Mono-fire,muju-phasing-1 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,11.8,0.0000,0.0000,8.750,2.250,6.500,21.50,0.000,0,0,8
Balanced,Mono-lightning,muju-phasing-1 h0,4,2,2,0,0.5000,0.1500,0.8500,1,2,1,2,34.5,0.5000,0.0000,28.750,5.500,23.250,67.50,0.000,0,0,16
Balanced,Mono-lightning,muju-phasing-1 h3,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,12.8,0.2500,0.5000,16.000,4.500,11.500,24.75,0.000,0,0,12
Balanced,Mono-metal,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,12.5,0.5000,1.0000,11.500,3.250,8.250,24.50,0.000,0,0,11
Balanced,Mono-metal,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,11.8,0.5000,1.0000,10.000,3.500,6.500,23.00,0.000,0,0,11
Balanced,Mono-plant,muju-phasing-1 h0,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,8.3,0.3750,0.7500,8.000,2.750,5.250,16.00,0.000,0,0,6
Balanced,Mono-plant,muju-phasing-1 h3,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,13.8,0.3750,0.7500,10.000,3.250,6.750,27.25,0.000,0,0,9
Balanced,Mono-shadow,muju-phasing-1 h0,4,1,0,3,0.2500,0.0456,0.6994,0,2,1,2,22.3,0.6250,0.7500,17.000,6.250,10.750,43.50,0.000,0,0,13
Balanced,Mono-shadow,muju-phasing-1 h3,4,1,2,1,0.2500,0.0456,0.6994,1,2,0,2,14.8,0.3750,0.2500,12.750,3.500,9.250,28.00,0.000,0,0,10
Balanced,Mono-water,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,9.0,0.5000,1.0000,6.250,2.750,3.500,17.50,0.000,0,0,5
Balanced,Mono-water,muju-phasing-1 h3,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,11.3,0.3750,0.7500,6.750,3.250,3.500,22.25,0.000,0,0,7
Balanced,Random,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,8.250,1.500,6.750,10.00,0.000,0,0,3
Balanced,Random,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,8.250,1.000,7.250,10.00,0.000,0,0,4
Balanced,Rush,muju-phasing-1 h0,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,15.5,0.0000,0.0000,100.750,4.250,96.500,29.50,0.000,0,0,227
Balanced,Rush,muju-phasing-1 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,15.8,0.0000,0.0000,92.500,3.250,89.250,30.25,0.000,0,0,146
Balanced,Tier1Spam,muju-phasing-1 h0,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,9.8,0.2500,0.5000,44.000,2.250,41.750,18.75,0.000,0,0,30
Balanced,Tier1Spam,muju-phasing-1 h3,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,11.8,0.3750,0.7500,51.250,2.750,48.500,23.00,0.000,0,0,27
Balanced,Turtle,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,3.000,1.500,1.500,10.00,0.000,0,0,1
Balanced,Turtle,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,2.750,1.250,1.500,10.00,0.000,0,0,1
Expand,Greedy,muju-phasing-1 h0,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,8.0,0.2500,0.5000,4.750,2.000,2.750,15.00,0.000,0,0,15
Expand,Greedy,muju-phasing-1 h3,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,9.5,0.3750,0.7500,6.500,2.000,4.500,18.50,0.000,0,0,10
Expand,MiningDenial,muju-phasing-1 h0,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,13.5,0.3750,0.7500,46.750,2.500,44.250,26.00,0.000,0,0,37
Expand,MiningDenial,muju-phasing-1 h3,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,22.8,0.2500,0.5000,79.250,5.750,73.500,44.25,0.000,0,0,110
Expand,Mono-fire,muju-phasing-1 h0,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,8.0,0.1250,0.2500,6.500,2.250,4.250,15.00,0.000,0,0,12
Expand,Mono-fire,muju-phasing-1 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,7.0,0.0000,0.0000,5.500,2.250,3.250,12.50,0.000,0,0,6
Expand,Mono-lightning,muju-phasing-1 h0,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,55.5,0.0000,0.0000,40.750,5.000,35.750,109.50,0.000,0,0,37
Expand,Mono-lightning,muju-phasing-1 h3,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,51.5,0.2500,0.5000,41.250,6.000,35.250,102.00,0.000,0,0,29
Expand,Mono-metal,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,9.5,0.5000,1.0000,8.500,2.750,5.750,18.25,0.000,0,0,9
Expand,Mono-metal,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,6.8,0.5000,1.0000,8.000,2.500,5.500,13.25,0.000,0,0,6
Expand,Mono-plant,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,7.5,0.5000,1.0000,8.000,3.000,5.000,14.50,0.000,0,0,4
Expand,Mono-plant,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,7.0,0.5000,1.0000,7.250,2.500,4.750,13.50,0.000,0,0,5
Expand,Mono-shadow,muju-phasing-1 h0,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,23.3,0.3750,0.7500,15.500,5.000,10.500,45.75,0.000,0,0,15
Expand,Mono-shadow,muju-phasing-1 h3,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,24.3,0.3750,0.7500,17.000,5.500,11.500,48.00,0.000,0,0,16
Expand,Mono-water,muju-phasing-1 h0,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,9.0,0.3750,0.7500,6.500,2.750,3.750,17.50,0.000,0,0,7
Expand,Mono-water,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,9.5,0.5000,1.0000,6.000,2.250,3.750,18.75,0.000,0,0,8
Expand,Random,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,10.000,2.000,8.000,10.00,0.000,0,0,3
Expand,Random,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,6.3,0.5000,1.0000,9.250,2.500,6.750,12.25,0.000,0,0,4
Expand,Rush,muju-phasing-1 h0,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,13.5,0.1250,0.2500,82.000,2.750,79.250,25.75,0.000,0,0,158
Expand,Rush,muju-phasing-1 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,16.8,0.0000,0.0000,102.500,3.500,99.000,32.00,0.000,0,0,196
Expand,Tier1Spam,muju-phasing-1 h0,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,13.8,0.2500,0.5000,72.500,2.750,69.750,26.25,0.000,0,0,93
Expand,Tier1Spam,muju-phasing-1 h3,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,26.5,0.2500,0.5000,75.500,3.750,71.750,51.50,0.000,0,0,90
Expand,Turtle,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,3.250,2.000,1.250,10.00,0.000,0,0,1
Expand,Turtle,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,3.750,2.250,1.500,10.00,0.000,0,0,1
Greedy,MiningDenial,muju-phasing-1 h0,4,1,2,1,0.2500,0.0456,0.6994,1,2,0,2,12.3,0.3750,0.2500,35.000,3.500,31.500,23.25,0.000,0,0,35
Greedy,MiningDenial,muju-phasing-1 h3,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,18.8,0.2500,0.5000,75.250,6.250,69.000,36.50,0.000,0,0,65
Greedy,Mono-fire,muju-phasing-1 h0,4,1,2,1,0.2500,0.0456,0.6994,0,2,1,2,16.0,0.3750,0.2500,16.000,6.250,9.750,30.75,0.000,0,0,16
Greedy,Mono-fire,muju-phasing-1 h3,4,3,0,1,0.7500,0.3006,0.9544,1,2,2,2,13.3,0.8750,0.2500,14.750,5.750,9.000,25.25,0.000,0,0,14
Greedy,Mono-lightning,muju-phasing-1 h0,4,3,1,0,0.7500,0.3006,0.9544,1,2,2,2,14.8,0.7500,0.0000,17.250,6.250,11.000,28.25,0.000,0,0,17
Greedy,Mono-lightning,muju-phasing-1 h3,4,3,0,1,0.7500,0.3006,0.9544,1,2,2,2,13.3,0.8750,0.2500,16.500,4.750,11.750,25.25,0.000,0,0,12
Greedy,Mono-metal,muju-phasing-1 h0,4,1,1,2,0.2500,0.0456,0.6994,1,2,0,2,13.0,0.5000,0.5000,11.500,4.750,6.750,25.00,0.000,0,0,14
Greedy,Mono-metal,muju-phasing-1 h3,4,1,1,2,0.2500,0.0456,0.6994,0,2,1,2,13.5,0.5000,0.5000,13.500,6.500,7.000,26.25,0.000,0,0,16
